Equivalencia1;Equivalencia2;Equivalencia3;Equivalencia4;Equivalencia5;Equivalencia6;Equivalencia7;Equivalencia8;Equivalencia9;Equivalencia10;Equivalencia11;Equivalencia12;Equivalencia13;Equivalencia14;Equivalencia15;Equivalencia16;Equivalencia17;Equivalencia18;Equivalencia19;Equivalencia20;Resultado ICF;resultadoCalculado
0.889838602;0.806344235;0.696479549;0.623971569;0.176183168;0.636623853;0.220877303;0.34189009;0.581329151;0.385227278;0.320338843;0.754329832;0.234135143;0.793752143;0.089979143;0.003950862;0.455293655;0.216610403;0.503996079;0.216937222;0.447404406;0.447404
0.826618234;0.347013432;0.349109291;0.50123858;0.537466981;0.291911871;0.947437402;0.595950665;0.890057188;0.606703753;0.053278174;0.872592518;0.22621766;0.617551414;0.028402997;0.967084356;0.214785973;0.13971623;0.203323597;0.069474396;0.464296736;0.464297
0.224652337;0.87575435;0.846200757;0.794180068;0.317740181;0.490774425;0.814066545;0.404420365;0.576262404;0.353990321;0.209028089;0.165485351;0.033399885;0.320431547;0.024603766;0.93658891;0.391713844;0.060812207;0.309936719;0.226118298;0.418808018;0.418808
0.104799667;0.49429921;0.955587418;0.510429222;0.072630388;0.706428428;0.669118733;0.591516709;0.486236226;0.453267652;0.452405738;0.289110123;0.683071297;0.83085325;0.194376363;0.467970402;0.542329375;0.278798659;0.703139225;0.180067898;0.483321799;0.483322
0.47791497;0.396421674;0.467887238;0.957109384;0.365896077;0.451632356;0.583900195;0.107146777;0.714690344;0.966955042;0.306023481;0.333627395;0.428252795;0.799828384;0.417734624;0.675508417;0.114758192;0.563033631;0.112440732;0.472685035;0.485672337;0.485672
0.732728923;0.196162872;0.161569362;0.375908962;0.256442254;0.301757668;0.806705078;0.41254649;0.849986017;0.74311259;0.538256999;0.068625999;0.625056574;0.57276261;0.158508886;0.890922332;0.733883143;0.594634512;0.740823992;0.340442055;0.505041866;0.505042
0.730985098;0.834239449;0.983396049;0.272639906;0.913611213;0.944330113;0.939293258;0.078590502;0.297121423;0.407413878;0.69759095;0.507069112;0.77054334;0.941915236;0.501968472;0.34571419;0.354893451;0.484794208;0.410733279;0.24834523;0.583259418;0.583259
0.024124365;0.024848007;0.514906903;0.841324459;0.842223888;0.050747115;0.899030918;0.385037487;0.149297249;0.541082599;0.414933257;0.063837939;0.063563446;0.226666393;0.178734224;0.741888816;0.092891198;0.489017225;0.801787388;0.139133591;0.374253823;0.374254
0.622734243;0.10329893;0.739505748;0.633289838;0.112302129;0.882691758;0.608810736;0.406486553;0.367217994;0.230762922;0.998286393;0.472381546;0.035128727;0.851429442;0.478939574;0.501123391;0.203347226;0.769637654;0.841111981;0.869153529;0.536382016;0.536382
0.32663332;0.112560227;0.065519378;0.1177468;0.676775148;0.778020214;0.515303582;0.634583727;0.397409242;0.596242211;0.032407744;0.429674826;0.349554236;0.064546971;0.0055837;0.938718239;0.242867147;0.561772562;0.303269511;0.718874926;0.393403185;0.393403
0.125784303;0.133232352;0.566322703;0.406505313;0.477349622;0.684445851;0.010844833;0.662480199;0.04859111;0.57130013;0.151643088;0.579150785;0.321789351;0.915994262;0.687551127;0.038268556;0.303929014;0.694457465;0.383118415;0.119023722;0.39408911;0.394089
0.803632382;0.292619545;0.700850084;0.727941378;0.886245127;0.842768695;0.78353509;0.441846374;0.965909878;0.219862914;0.297795859;0.798783724;0.456954133;0.288134112;0.943131777;0.548374564;0.49610583;0.047303982;0.647561876;0.994082753;0.609172004;0.609172
0.715502666;0.125149672;0.019561771;0.48479106;0.02618451;0.580322188;0.133980477;0.043867555;0.449694365;0.422264175;0.054903269;0.695706147;0.487244955;0.266819786;0.874507714;0.220687243;0.146458147;0.047604549;0.021532442;0.310933487;0.306385809;0.306386
0.646851186;0.316298855;0.835608799;0.287478952;0.759366945;0.577856648;0.937232754;0.490955667;0.562371856;0.884209895;0.658550903;0.037636499;0.577353622;0.563116502;0.16867728;0.376709477;0.001883018;0.120264008;0.824328338;0.52509043;0.507592082;0.507592
