Violaciones;transiciones;ICS
17;17;0
8;21;0,619047619
41;50;0,18
5;17;0,705882353
10;34;0,705882353
0;12;1
1;21;0,952380952
21;30;0,3
12;12;0
28;35;0,2
8;17;0,529411765
0;1;1
11;47;0,765957447
11;21;0,476190476
2;8;0,75
23;34;0,323529412
16;44;0,636363636
20;20;0
2;19;0,894736842
50;50;0
39;49;0,204081633
10;10;0
8;8;0
6;13;0,538461538
26;46;0,434782609
11;34;0,676470588
5;12;0,583333333
7;23;0,695652174
21;34;0,382352941
28;47;0,404255319
14;26;0,461538462
32;45;0,288888889
2;4;0,5
2;39;0,948717949
33;48;0,3125
8;47;0,829787234
0;2;1
5;46;0,891304348
8;18;0,555555556
8;11;0,272727273
30;50;0,4
0;3;1
6;8;0,25
19;23;0,173913043
22;44;0,5
30;50;0,4
4;28;0,857142857
25;49;0,489795918
30;33;0,090909091
4;6;0,333333333
2;2;0
13;15;0,133333333
27;43;0,372093023
32;37;0,135135135
33;42;0,214285714
21;45;0,533333333
1;15;0,933333333
10;35;0,714285714
2;4;0,5
2;12;0,833333333
8;21;0,619047619
12;13;0,076923077
14;16;0,125
19;43;0,558139535
8;23;0,652173913
21;46;0,543478261
7;15;0,533333333
6;14;0,571428571
1;6;0,833333333
16;43;0,627906977
5;21;0,761904762
12;30;0,6
8;37;0,783783784
24;50;0,52
2;10;0,8
6;35;0,828571429
7;7;0
3;9;0,666666667
21;43;0,511627907
7;8;0,125
16;17;0,058823529
7;20;0,65
38;44;0,136363636
25;39;0,358974359
7;9;0,222222222
11;36;0,694444444
3;8;0,625
8;37;0,783783784
3;4;0,25
14;15;0,066666667
14;28;0,5
0;2;1
1;33;0,96969697
1;1;0
14;24;0,416666667
0;49;1
5;24;0,791666667
4;14;0,714285714
2;9;0,777777778
23;34;0,323529412
18;19;0,052631579
20;40;0,5
0;1;1
13;13;0
7;24;0,708333333
24;33;0,272727273
33;47;0,29787234
3;11;0,727272727
8;14;0,428571429
18;31;0,419354839
2;3;0,333333333
15;15;0
27;48;0,4375
2;45;0,955555556
15;33;0,545454545
0;3;1
6;24;0,75
3;7;0,571428571
9;35;0,742857143
4;4;0
1;9;0,888888889
16;47;0,659574468
11;46;0,760869565
26;26;0
0;10;1
0;3;1
0;2;1
23;27;0,148148148
8;26;0,692307692
0;5;1
7;9;0,222222222
4;9;0,555555556
37;40;0,075
18;37;0,513513514
24;31;0,225806452
40;49;0,183673469
29;40;0,275
18;26;0,307692308
41;45;0,088888889
30;31;0,032258065
3;3;0
2;9;0,777777778
17;26;0,346153846
37;39;0,051282051
2;15;0,866666667
4;18;0,777777778
12;28;0,571428571
2;8;0,75
0;6;1
3;8;0,625
8;14;0,428571429
3;37;0,918918919
6;37;0,837837838
32;36;0,111111111
6;27;0,777777778
8;45;0,822222222
10;11;0,090909091
13;13;0
13;19;0,315789474
27;33;0,181818182
9;45;0,8
3;5;0,4
5;48;0,895833333
28;35;0,2
16;24;0,333333333
26;42;0,380952381
31;38;0,184210526
2;4;0,5
13;26;0,5
18;23;0,217391304
22;39;0,435897436
27;27;0
8;25;0,68
14;27;0,481481481
30;43;0,302325581
16;27;0,407407407
25;45;0,444444444
11;20;0,45
1;4;0,75
7;13;0,461538462
7;14;0,5
0;1;1
3;22;0,863636364
1;38;0,973684211
23;35;0,342857143
6;6;0
21;47;0,553191489
2;47;0,957446809
0;20;1
30;37;0,189189189
5;11;0,545454545
21;30;0,3
7;18;0,611111111
27;36;0,25
5;6;0,166666667
14;16;0,125
7;7;0
2;41;0,951219512
5;30;0,833333333
